filename	theta_i	phi_i	theta_r	phi_r	motor_x	motor_y	motor_z	motor_a	hdr_bracketing	filter_iterations	filter_num	timestamp	exposure_time
00001849.tiff	45	0	30	0	0	-30	0	15	0	0	1	2025-10-25 22:59:39.652	64
00001873.tiff	45	0	25	0	0	-25	0	20	0	0	1	2025-10-25 23:00:40.212	64
00001897.tiff	45	0	20	0	0	-20	0	25	0	0	1	2025-10-25 23:01:39.322	64
00001921.tiff	45	0	15	0	0	-15	0	30	0	0	1	2025-10-25 23:02:36.722	64
00001945.tiff	45	0	10	0	0	-10	0	35	0	0	1	2025-10-25 23:03:33.102	64
00001969.tiff	45	0	5	0	0	-5	0	40	0	0	1	2025-10-25 23:04:28.522	64
00001993.tiff	45	0	0	0	0	0	0	45	0	0	1	2025-10-25 23:05:22.052	64
00002017.tiff	45	0	5	180	0	5	0	50	0	0	1	2025-10-25 23:06:15.562	64
00002041.tiff	45	0	10	180	0	10	0	55	0	0	1	2025-10-25 23:07:11.212	64
00002065.tiff	45	0	15	180	0	15	0	60	0	0	1	2025-10-25 23:08:07.852	64
00002089.tiff	45	0	20	180	0	20	0	65	0	0	1	2025-10-25 23:09:05.693	64
00002113.tiff	45	0	25	180	0	25	0	70	0	0	1	2025-10-25 23:10:04.733	64
00002137.tiff	45	0	30	180	0	30	0	75	0	0	1	2025-10-25 23:11:05.403	64
00002161.tiff	45	0	35	180	0	35	0	80	0	0	1	2025-10-25 23:12:07.113	64
00002185.tiff	45	0	40	180	0	40	0	85	0	0	1	2025-10-25 23:13:09.693	64
00002209.tiff	45	0	41	180	0	41	0	86	0	0	1	2025-10-25 23:14:12.463	64
00002233.tiff	45	0	42	180	0	42	0	87	0	0	1	2025-10-25 23:15:15.673	64
00002257.tiff	45	0	43	180	0	43	0	88	0	0	1	2025-10-25 23:16:19.313	64
00002281.tiff	45	0	44	180	0	44	0	89	0	0	1	2025-10-25 23:17:22.893	64
00002305.tiff	45	0	45	180	0	45	0	90	0	0	1	2025-10-25 23:18:26.703	64
00002329.tiff	45	0	46	180	0	46	0	91	0	0	1	2025-10-25 23:19:31.073	64
00002353.tiff	45	0	47	180	0	47	0	92	0	0	1	2025-10-25 23:20:35.843	64
00002377.tiff	45	0	48	180	0	48	0	93	0	0	1	2025-10-25 23:21:40.574	64
00002401.tiff	45	0	49	180	0	49	0	94	0	0	1	2025-10-25 23:22:45.134	64
00002425.tiff	45	0	50	180	0	50	0	95	0	0	1	2025-10-25 23:23:50.424	64
00002449.tiff	45	0	55	180	0	55	0	100	0	0	1	2025-10-25 23:24:57.294	64
00002473.tiff	45	0	60	180	0	60	0	105	0	0	1	2025-10-25 23:26:05.184	64
